序号,纬度,经度,河底高程,声呐高程
278,33.489075,120.0749646,4.95,0.69
279,33.4890753,120.0749643,4.96,0.69
280,33.4890755,120.074964,4.97,0.69
281,33.4890758,120.0749636,4.95,0.69
282,33.489076,120.0749633,4.97,0.68
283,33.4890762,120.074963,4.98,0.67
284,33.4890764,120.0749627,4.98,0.68
285,33.4890766,120.0749624,4.99,0.68
286,33.4890769,120.0749622,4.99,0.68
287,33.4890771,120.0749618,5,0.67
288,33.4890774,120.0749615,4.99,0.67
289,33.4890776,120.0749612,4.97,0.68
290,33.4890778,120.0749609,4.97,0.68
291,33.4890779,120.0749605,4.97,0.68
292,33.4890781,120.0749602,4.99,0.67
293,33.4890783,120.0749599,4.98,0.67
294,33.4890785,120.0749596,4.99,0.66
295,33.4890786,120.0749594,4.99,0.68
296,33.4890788,120.0749592,4.99,0.68
297,33.4890789,120.0749589,4.98,0.68
298,33.4890791,120.0749586,5.01,0.65
299,33.4890793,120.0749584,5.01,0.66
300,33.4890794,120.0749582,4.99,0.68
301,33.4890796,120.0749579,4.99,0.69
302,33.4890798,120.0749576,5.04,0.64
303,33.48908,120.0749574,5.04,0.64
304,33.4890802,120.0749571,4.99,0.67
305,33.4890803,120.0749568,5.02,0.65
306,33.4890805,120.0749565,4.99,0.67
307,33.4890807,120.0749563,5.02,0.64
308,33.4890809,120.0749559,5.02,0.64
309,33.489081,120.0749557,5.02,0.64
310,33.4890812,120.0749555,4.98,0.69
311,33.4890813,120.0749552,4.96,0.72
312,33.4890814,120.0749549,4.99,0.69
313,33.4890816,120.0749546,4.99,0.69
314,33.4890817,120.0749543,4.99,0.69
315,33.4890819,120.074954,4.93,0.73
316,33.489082,120.0749537,4.98,0.68
317,33.4890821,120.0749535,5,0.67
318,33.4890822,120.0749533,5,0.67
319,33.4890823,120.074953,5,0.68
320,33.4890824,120.0749528,5.02,0.66
321,33.4890826,120.0749526,5.05,0.63
322,33.4890827,120.0749523,5.03,0.66
323,33.4890829,120.0749521,5.04,0.64
324,33.489083,120.0749519,5.03,0.64
325,33.4890831,120.0749517,5.05,0.64
326,33.4890832,120.0749514,5.06,0.62
327,33.4890834,120.0749512,5.07,0.6
328,33.4890835,120.0749509,5.06,0.6
329,33.4890836,120.0749507,5.06,0.59
330,33.4890837,120.0749504,4.97,0.68
331,33.4890838,120.0749502,5.04,0.61
332,33.4890839,120.0749499,5.08,0.58
333,33.489084,120.0749497,5.08,0.59
334,33.4890842,120.0749495,5.09,0.57
335,33.4890843,120.0749493,5.11,0.56
336,33.4890844,120.0749492,5.11,0.56
337,33.4890845,120.074949,5.11,0.55
338,33.4890846,120.0749488,5.1,0.55
339,33.4890848,120.0749487,5.11,0.54
340,33.4890849,120.0749485,5.1,0.55
341,33.489085,120.0749484,5.11,0.54
342,33.4890851,120.0749482,5.13,0.52
343,33.4890853,120.074948,5.07,0.58
344,33.4890854,120.0749479,5.15,0.5
345,33.4890855,120.0749476,5.14,0.5
346,33.4890856,120.0749475,5.15,0.5
347,33.4890857,120.0749473,5.16,0.49
348,33.4890858,120.0749471,5.15,0.5
349,33.4890859,120.074947,5.15,0.5
350,33.4890859,120.0749468,5.16,0.5
351,33.489086,120.0749467,5.17,0.48
352,33.489086,120.0749465,5.18,0.48
353,33.489086,120.0749463,5.18,0.48
354,33.489086,120.0749462,5.18,0.47
355,33.4890861,120.0749461,5.19,0.47
356,33.4890861,120.0749459,5.19,0.47
357,33.4890861,120.0749458,5.19,0.47
358,33.4890862,120.0749457,5.19,0.47
359,33.4890862,120.0749456,5.18,0.47
360,33.4890863,120.0749455,5.13,0.52
361,33.4890863,120.0749454,5.19,0.46
362,33.4890864,120.0749453,5.2,0.45
363,33.4890864,120.0749452,5.2,0.45
364,33.4890865,120.0749451,5.16,0.49
365,33.4890866,120.0749449,5.19,0.45
366,33.4890867,120.0749449,5.18,0.46
367,33.4890868,120.0749447,5.2,0.45
368,33.4890868,120.0749445,5.19,0.46
369,33.4890869,120.0749444,5.21,0.44
370,33.489087,120.0749442,5.14,0.51
371,33.4890871,120.074944,5.2,0.45
372,33.4890872,120.0749438,5.26,0.4
373,33.4890872,120.0749436,5.25,0.4
374,33.4890873,120.0749433,5.26,0.39
375,33.4890874,120.0749431,5.26,0.39
376,33.4890875,120.0749429,5.26,0.38
377,33.4890876,120.0749427,5.26,0.39
378,33.4890877,120.0749425,5.25,0.39
379,33.4890879,120.0749422,5.27,0.37
380,33.489088,120.0749419,5.28,0.36
381,33.4890882,120.0749417,5.27,0.36
382,33.4890883,120.0749414,5.29,0.35
383,33.4890885,120.0749412,5.28,0.35
384,33.4890887,120.074941,5.27,0.36
385,33.4890889,120.0749408,5.28,0.35
386,33.4890892,120.0749406,5.28,0.35
387,33.4890894,120.0749403,5.28,0.34
388,33.4890897,120.0749401,5.28,0.34
389,33.48909,120.0749398,5.28,0.34
390,33.4890903,120.0749395,5.28,0.35
391,33.4890906,120.0749393,5.28,0.34
392,33.4890908,120.074939,5.28,0.34
393,33.4890911,120.0749388,5.28,0.35
394,33.4890914,120.0749385,5.28,0.35
395,33.4890916,120.0749381,5.28,0.35
396,33.4890919,120.0749378,5.27,0.34
397,33.4890922,120.0749374,5.27,0.35
398,33.4890926,120.0749371,5.27,0.37
399,33.4890929,120.0749367,5.27,0.35
400,33.4890934,120.0749363,5.28,0.34
401,33.4890938,120.0749361,5.26,0.36
402,33.4890942,120.0749357,5.26,0.36
403,33.4890946,120.0749354,5.26,0.35
404,33.4890951,120.074935,5.23,0.39
405,33.4890955,120.0749347,5.26,0.35
406,33.489096,120.0749343,5.26,0.34
407,33.4890965,120.074934,5.27,0.35
408,33.4890969,120.0749337,5.27,0.35
409,33.4890974,120.0749332,5.26,0.35
410,33.4890979,120.0749327,5.23,0.36
411,33.4890983,120.0749323,5.21,0.39
412,33.4890987,120.0749319,5.21,0.39
413,33.4890991,120.0749317,5.21,0.38
414,33.4890996,120.0749312,5.25,0.35
415,33.4891,120.0749308,5.25,0.36
416,33.4891004,120.0749303,5.23,0.37
417,33.4891009,120.0749298,5.24,0.35
418,33.4891014,120.0749295,5.23,0.36
419,33.4891018,120.0749291,5.23,0.36
420,33.4891023,120.0749285,5.24,0.35
421,33.4891027,120.0749281,5.25,0.36
422,33.4891033,120.0749279,5.25,0.35
423,33.4891038,120.0749275,5.25,0.35
424,33.4891042,120.074927,5.21,0.37
425,33.4891047,120.0749266,5.22,0.36
426,33.4891052,120.0749264,5.23,0.38
427,33.4891057,120.0749261,5.18,0.44
428,33.4891062,120.0749258,5.22,0.4
429,33.4891066,120.0749255,5.18,0.43
430,33.489107,120.0749252,5.2,0.4
431,33.4891074,120.0749249,5.19,0.4
432,33.4891077,120.0749246,5.2,0.4
433,33.489108,120.0749243,5.16,0.43
434,33.4891079,120.0749238,5.22,0.39
435,33.4891075,120.0749224,5.23,0.38
436,33.4891072,120.0749205,5.24,0.34
437,33.4891071,120.0749178,5.33,0.3
438,33.4891081,120.0749152,5.36,0.27
439,33.4891102,120.0749128,5.32,0.28
440,33.4891128,120.0749113,5.3,0.3
441,33.4891155,120.0749117,5.26,0.36
442,33.4891172,120.0749123,5.21,0.41
443,33.4891184,120.0749132,5.21,0.4
444,33.4891185,120.0749156,5.1,0.52
445,33.4891177,120.0749187,5.04,0.56
446,33.4891153,120.0749235,5.06,0.56
447,33.4891123,120.0749284,5.02,0.58
448,33.4891092,120.0749323,5.03,0.59
449,33.4891063,120.074935,5.06,0.58
450,33.4891028,120.0749371,5.03,0.6
451,33.4890986,120.0749401,5.03,0.57
452,33.4890953,120.0749445,5.08,0.53
453,33.4890943,120.0749497,5.08,0.55
454,33.4890958,120.0749552,4.93,0.66
455,33.4890984,120.0749585,4.83,0.79
456,33.4891011,120.0749602,4.71,0.92
457,33.4891033,120.074961,4.59,1.05
458,33.4891053,120.0749614,4.56,1.06
459,33.4891068,120.0749614,4.52,1.12
460,33.4891083,120.0749615,4.53,1.12
461,33.4891094,120.0749613,4.54,1.11
462,33.4891106,120.0749612,4.6,1.06
463,33.4891116,120.074961,4.6,1.06
464,33.4891125,120.074961,4.62,1.05
465,33.4891133,120.0749608,4.6,1.06
466,33.4891141,120.0749607,4.61,1.06
467,33.4891149,120.0749604,4.63,1.03
468,33.4891155,120.0749603,4.63,1.03
469,33.4891162,120.0749601,4.64,1.03
470,33.4891168,120.0749601,4.6,1.06
471,33.4891174,120.0749599,4.63,1.04
472,33.489118,120.0749598,4.63,1.03
473,33.4891185,120.0749598,4.63,1.03
474,33.4891191,120.0749597,4.62,1.04
475,33.4891196,120.0749596,4.59,1.07
476,33.4891201,120.0749595,4.59,1.06
477,33.4891207,120.0749595,4.59,1.08
478,33.4891212,120.0749593,4.59,1.05
479,33.4891217,120.0749593,4.59,1.06
480,33.4891222,120.0749592,4.58,1.07
481,33.4891226,120.0749593,4.57,1.09
482,33.4891231,120.0749592,4.55,1.09
483,33.4891235,120.0749592,4.55,1.09
484,33.4891239,120.0749592,4.53,1.11
485,33.4891243,120.0749592,4.52,1.12
486,33.4891248,120.0749592,4.51,1.13
487,33.4891251,120.0749593,4.49,1.16
488,33.4891255,120.0749594,4.53,1.11
489,33.4891252,120.0749591,4.49,1.16
490,33.4891244,120.074959,4.55,1.1
491,33.4891234,120.0749591,4.57,1.08
492,33.4891217,120.0749596,4.52,1.1
493,33.4891191,120.0749607,4.57,1.06
494,33.4891168,120.0749617,4.56,1.07
495,33.4891147,120.0749625,4.55,1.08
496,33.4891129,120.0749632,4.51,1.1
497,33.4891111,120.0749637,4.49,1.13
498,33.4891075,120.0749645,4.45,1.15
499,33.4891041,120.0749672,4.54,1.04
500,33.4891016,120.0749715,4.64,1
501,33.4891001,120.0749782,4.46,1.18
502,33.4891028,120.0749869,4.43,1.18
504,33.4891152,120.0749919,3.98,1.61
505,33.4891222,120.0749906,4.02,1.57
506,33.489129,120.0749901,3.98,1.65
507,33.4891357,120.0749897,3.78,1.85
508,33.4891423,120.0749895,3.7,1.88
509,33.4891487,120.0749898,3.59,2
510,33.489155,120.0749906,3.42,2.2
511,33.4891612,120.0749914,3.17,2.44
512,33.4891673,120.0749926,2.84,2.77
513,33.4891734,120.074994,2.67,2.94
514,33.4891795,120.0749955,2.53,3.08
515,33.4891855,120.0749971,2.04,3.6
516,33.4891917,120.0749989,1.59,4.01
517,33.4891979,120.0750007,1.31,4.26
518,33.489204,120.0750027,1.4,4.21
519,33.4892101,120.0750046,1.49,4.1
520,33.4892166,120.0750067,1.47,4.09
521,33.489223,120.0750088,1.43,4.17
522,33.4892294,120.0750107,1.56,4.07
523,33.4892361,120.0750125,1.56,4.06
524,33.4892427,120.0750143,1.52,4.08
525,33.4892495,120.0750159,1.51,4.06
526,33.4892548,120.0750172,1.5,4.09
527,33.4892616,120.075019,1.48,4.1
528,33.4892683,120.0750208,1.55,4.06
529,33.4892751,120.0750224,1.57,4.03
530,33.4892819,120.0750244,1.55,4.06
531,33.4892886,120.0750261,1.58,4.01
532,33.4892953,120.075028,1.53,4.08
533,33.4893019,120.0750298,1.52,4.07
534,33.4893086,120.0750317,1.49,4.12
535,33.4893151,120.0750336,1.44,4.18
536,33.4893218,120.0750352,1.35,4.24
537,33.4893284,120.0750372,1.28,4.32
538,33.489335,120.0750391,1.32,4.3
539,33.4893415,120.0750409,1.25,4.37
540,33.4893481,120.0750428,1.17,4.43
541,33.4893547,120.0750446,1.09,4.5
542,33.4893613,120.0750466,1.04,4.59
543,33.4893679,120.0750486,0.99,4.66
544,33.4893746,120.0750506,0.91,4.74
545,33.4893812,120.0750524,0.81,4.84
546,33.4893877,120.0750542,0.7,4.94
547,33.4893943,120.0750558,0.68,4.97
548,33.489401,120.0750576,0.67,4.98
549,33.4894076,120.0750593,0.48,5.16
550,33.4894143,120.075061,0.45,5.19
551,33.4894209,120.0750628,0.48,5.21
552,33.4894276,120.0750641,0.39,5.23
553,33.4894343,120.075066,0.35,5.28
554,33.489441,120.0750674,0.28,5.33
555,33.4894477,120.0750692,0.23,5.4
556,33.4894544,120.0750707,0.15,5.49
557,33.489461,120.0750724,0.08,5.58
558,33.4894678,120.0750739,0.04,5.59
559,33.4894745,120.0750756,-2.50E-16,5.63
560,33.4894811,120.0750773,-0.01,5.62
561,33.4894876,120.0750793,-2.50E-16,5.63
562,33.489494,120.0750815,-0.06,5.69
