FID,Id,Latitude,Longitude
0,0,40.023706507299998,116.392104130000007
1,0,40.023670815400003,116.392493767000005
2,0,40.024429268500000,116.393061863000000
3,0,40.024658291700000,116.392832839999997
4,0,40.025068748700001,116.393311706999995
5,0,40.025235311000003,116.394513333999996
6,0,40.025984841200000,116.395173635000006
7,0,40.026270376500001,116.394852408000006
8,0,40.027088316200000,116.394474668000001
9,0,40.027248929800002,116.393960109999995
10,0,40.027921127600003,116.394269440000002
11,0,40.028474947100001,116.394136189999998
12,0,40.029719405199998,116.393800686000006
13,0,40.030621220900002,116.392546710000005
14,0,40.029921659400003,116.390866810000006
15,0,40.030085842200002,116.389153598999997
16,0,40.029588534900000,116.389270191999998
17,0,40.029012705299998,116.389293987000002
18,0,40.028679580800002,116.388672947000003
19,0,40.028604231199999,116.387984887000002
20,0,40.028129528699999,116.387809996000001
21,0,40.028051006500000,116.386446565000000
22,0,40.026926711199998,116.386300227999996
23,0,40.026409178400002,116.387221080000003
24,0,40.026066536000002,116.388252575999999
25,0,40.025539485400003,116.388721329999996
26,0,40.025243242499997,116.388471486000000
27,0,40.025068352100000,116.389014004000003
28,0,40.024993399099998,116.389506552000000
29,0,40.025778621199997,116.390045499999999
30,0,40.026014187900003,116.389820641000000
31,0,40.025978495899999,116.389274555000000
32,0,40.026920762499998,116.388799852000005
33,0,40.027038545800004,116.387968229999998
34,0,40.027738107399998,116.387700541000001
35,0,40.028209240599999,116.388371548999999
36,0,40.027859459900000,116.389042556999996
37,0,40.027456141199998,116.390559463000002
38,0,40.027138483199998,116.390898536999998
39,0,40.027449002899999,116.391041303999998
40,0,40.027306235200001,116.391287578999993
41,0,40.027563217000001,116.391458900000003
42,0,40.027763091700002,116.392358336000001
43,0,40.027905859400001,116.393357710000004
44,0,40.028084318900000,116.392686702000006
45,0,40.028573298200001,116.393093589000003
46,0,40.029062277400001,116.393239926000007
47,0,40.029669040000002,116.392636733000003
48,0,40.029833222800001,116.391530283999998
49,0,40.028559021400000,116.391990708999998
50,0,40.028144995200002,116.391337547000006
51,0,40.028509052700002,116.390659400999994
52,0,40.029511995500002,116.390466664000002
53,0,40.026788702399998,116.390070484000006
54,0,40.026945746800003,116.391580251999997
55,0,40.027017130700003,116.392904422000001
56,0,40.026299723199998,116.394235730999995
57,0,40.026353261099999,116.394014440999996
58,0,40.025839297499999,116.393186388000004
59,0,40.025839297499999,116.392133477000002
60,0,40.026524582299999,116.391601667000003
61,0,40.025464532400001,116.391569544999996
62,0,40.025039798599998,116.391580251999997
63,0,40.024704294599999,116.390837860000005
64,0,40.024643618299997,116.389849194000007
65,0,40.024518696599998,116.388550008999999
66,0,40.023579999299997,116.389288831000002
67,0,40.023283756399998,116.390455957000000
68,0,40.023148127100001,116.390969920000003
69,0,40.023944056799998,116.391276871000002
70,0,40.024233161300003,116.391512438000007
71,0,40.024572234499999,116.391623082999999
72,0,40.024561526900001,116.391783696000005
73,0,40.023433662400002,116.386251449000000
74,0,40.024788624700001,116.371245505000005
75,0,40.024470094100003,116.372011692000001
76,0,40.024156005300000,116.372592280000006
77,0,40.024184558800002,116.373782011000003
78,0,40.024203594500001,116.374453019000001
79,0,40.023120146600000,116.372858780000001
80,0,40.022615700899998,116.373486958000001
81,0,40.022701361499998,116.374595786000000
82,0,40.023386646200002,116.375162098000004
83,0,40.024010064999999,116.375709373999996
84,0,40.027265167700001,116.370855273999993
85,0,40.028278818099999,116.371749950999998
86,0,40.028688085399999,116.372568486000006
87,0,40.028887960100000,116.373758215999999
88,0,40.028954585000001,116.374486331000000
89,0,40.028954585000001,116.375371490999996
